"Name","batch_size","heads","lr","num_layers","num_prototypes","temperature","metrics/train_heuristic_8_domains"
"glad-sweep-100","256","8","0.0001","12","16","0.2","0.5767900740214988"
"cerulean-sweep-99","256","2","0.0002","6","1024","0.2","0.6729835877743657"
"divine-sweep-98","128","16","0.0002","2","256","0.05","0.4666278984616155"
"gallant-sweep-97","512","4","0.0001","12","512","0.05","0.3540275084408523"
"woven-sweep-96","128","8","0.0002","9","64","0.05","0.3720127581523012"
"resilient-sweep-95","512","2","0.00005","6","16","0.025","0.27795354933538186"
"pious-sweep-94","512","16","0.0002","6","256","0.2","0.5964570036662584"
"dark-sweep-93","1024","16","0.0001","15","512","0.025","0.3486470898019875"
"lucky-sweep-92","1024","2","0.0001","2","16","0.4","0.5784559343141703"
"floral-sweep-91","512","8","0.0005","12","64","0.025","0.27987627039175444"
"worthy-sweep-90","256","8","0.00005","6","16","0.025","0.25688782394543225"
"flowing-sweep-89","128","8","0.0002","6","1024","0.1","0.557847843116772"
"eternal-sweep-88","128","4","0.0002","15","128","0.4","0.5086337007089919"
"blooming-sweep-87","128","4","0.001","12","256","0.05","0.36431797539406097"
"sandy-sweep-86","64","2","0.0002","15","1024","0.025","0.409099964740506"
"spring-sweep-85","512","16","0.0005","6","512","0.1","0.5130028194813531"
"fanciful-sweep-84","1024","2","0.0002","6","64","0.05","0.3055412367375702"
"fiery-sweep-83","512","16","0.001","12","128","0.05","0.3456676760894183"
"avid-sweep-82","256","16","0.001","12","1024","0.05","0.4318259133475776"
"driven-sweep-81","256","16","0.0001","15","1024","0.1","0.47497328471988487"
"fiery-sweep-80","1024","4","0.001","15","1024","0.025","0.38002947298542095"
"likely-sweep-79","1024","16","0.0002","15","64","0.025","0.2718122934360039"
"divine-sweep-78","128","4","0.001","15","512","0.4","0.053021551551726616"
"crisp-sweep-77","1024","16","0.0001","6","256","0.4","0.5278302659157867"
"fluent-sweep-76","512","2","0.001","2","256","0.4","0.5262821789474057"
"sparkling-sweep-75","128","8","0.0001","9","128","0.4","0.5574840081559965"
"splendid-sweep-74","1024","4","0.00005","12","1024","0.1","0.3660251239536072"
"playful-sweep-73","64","8","0.0002","2","16","0.025","0.2965958057506455"
"gentle-sweep-72","1024","8","0.0005","9","512","0.025","0.4259274764865809"
"fluent-sweep-71","1024","16","0.00005","15","1024","0.1","0.3830360453018605"
"winter-sweep-70","128","8","0.001","12","16","0.05",""
"revived-sweep-69","64","4","0.0005","6","128","0.05","0.377166816738087"
"fearless-sweep-68","512","8","0.00005","15","16","0.4","0.46062917924787944"
"fresh-sweep-67","1024","2","0.0005","9","16","0.2","0.5651968370735323"
"exalted-sweep-66","512","8","0.001","6","512","0.4","0.5188335865328357"
"likely-sweep-65","64","4","0.001","6","128","0.1","0.5680480730787154"
"icy-sweep-64","512","4","0.0002","9","64","0.1","0.4897691118511832"
"ruby-sweep-63","128","8","0.0002","9","128","0.1","0.4954436580543858"
"cool-sweep-62","1024","16","0.0001","12","256","0.4","0.5367885109878183"
"radiant-sweep-61","64","16","0.0001","6","512","0.025","0.36436901733817817"
"deep-sweep-60","512","4","0.0001","6","64","0.05","0.37459049504365993"
"devout-sweep-59","1024","16","0.0001","6","256","0.05","0.2933734247494776"
"restful-sweep-58","1024","8","0.001","6","256","0.2","0.5132914886399504"
"volcanic-sweep-57","1024","4","0.001","9","64","0.1","0.4014463966007969"
"crisp-sweep-56","512","16","0.0002","9","1024","0.025","0.27480834991302894"
"frosty-sweep-55","1024","8","0.0002","15","1024","0.2","0.5358726200010306"
"dry-sweep-54","128","8","0.00005","9","16","0.025","0.39502367084698514"
"northern-sweep-53","128","4","0.001","15","256","0.025","0.29694697671877973"
"fiery-sweep-52","512","8","0.0002","15","64","0.2","0.6480125877936638"
"smart-sweep-51","256","4","0.0002","9","256","0.1","0.463040547289672"
"dulcet-sweep-50","1024","16","0.0001","6","512","0.4","0.516886723507532"
"whole-sweep-49","64","8","0.0001","2","1024","0.1","0.4380930137675742"
"upbeat-sweep-48","64","4","0.0001","15","64","0.2","0.5076251681964679"
"graceful-sweep-47","128","2","0.00005","6","1024","0.025","0.4014168397832168"
"polished-sweep-46","128","2","0.0005","6","64","0.2","0.5667770435693494"
"valiant-sweep-45","64","2","0.001","12","256","0.4","0.2072778103311171"
"faithful-sweep-44","256","4","0.00005","9","512","0.025","0.34729188156325447"
"amber-sweep-43","512","2","0.001","15","512","0.05","0.3689384904788632"
"sweepy-sweep-42","128","8","0.001","6","1024","0.025","0.3632630862741026"
"hardy-sweep-41","64","2","0.00005","15","256","0.1","0.5384741827184609"
"sage-sweep-40","128","4","0.0002","2","64","0.05","0.36755000629991896"
"colorful-sweep-39","1024","8","0.0001","6","512","0.1","0.4388116483657237"
"azure-sweep-38","512","2","0.0002","6","64","0.05","0.35924656068422445"
"easy-sweep-37","1024","2","0.0005","2","128","0.025","0.3997336700883311"
"still-sweep-36","128","16","0.001","9","64","0.4","0.2472945971652547"
"lucky-sweep-35","256","16","0.0001","9","64","0.4","0.5525461892035493"
"royal-sweep-34","256","4","0.001","12","64","0.2","0.5180708957824303"
"blooming-sweep-33","128","2","0.0002","9","64","0.05","0.3991314550637591"
"scarlet-sweep-32","512","2","0.001","9","1024","0.05","0.3395839204959498"
"graceful-sweep-31","1024","4","0.0002","9","1024","0.025","0.40954440065426057"
"dutiful-sweep-30","512","2","0.0001","15","1024","0.1","0.4417757672352864"
"decent-sweep-29","512","16","0.0001","12","128","0.4","0.5706963837690434"
"glamorous-sweep-28","1024","2","0.0001","2","256","0.2","0.6227681765380826"
"apricot-sweep-27","256","16","0.0001","15","1024","0.05","0.27852087429639427"
"youthful-sweep-26","1024","4","0.0001","2","128","0.05","0.4540228408089528"
"stilted-sweep-25","64","2","0.00005","9","512","0.025","0.3931335281310939"
"lemon-sweep-24","256","2","0.0002","2","1024","0.2","0.6523048289794757"
"fresh-sweep-23","256","8","0.0005","6","1024","0.1","0.5121138968509245"
"proud-sweep-22","128","2","0.0001","9","128","0.05","0.3685690003635454"
"astral-sweep-21","256","4","0.0005","9","16","0.1","0.5756530006158803"
"honest-sweep-20","512","2","0.001","6","256","0.025","0.3597722564903236"
"classic-sweep-19","128","4","0.00005","2","256","0.1","0.496355181315163"
"peach-sweep-18","64","4","0.00005","9","256","0.1","0.5288979433635956"
"fragrant-sweep-17","512","8","0.0001","2","16","0.05","0.3524884794910283"
"blooming-sweep-16","256","2","0.0002","12","128","0.4","0.6461029896572436"
"sunny-sweep-15","1024","8","0.0002","15","256","0.1","0.3600478375049447"
"quiet-sweep-14","256","16","0.00005","12","16","0.05","0.27871019752562254"
"eager-sweep-13","256","16","0.0001","12","256","0.05","0.3739074702364121"
"quiet-sweep-12","1024","16","0.0005","2","128","0.2","0.6056454313322864"
"dazzling-sweep-11","128","4","0.0002","6","256","0.2","0.6641329888169615"
"woven-sweep-10","64","16","0.0005","15","128","0.1","0.5201849673884731"
"fluent-sweep-9","64","2","0.0005","9","64","0.4","0.620234229315287"
"fresh-sweep-7","64","2","0.0001","2","512","0.1","0.43848468504774174"
"cerulean-sweep-8","128","2","0.001","12","64","0.1","0.5499618171716693"
"laced-sweep-5","128","2","0.0001","6","1024","0.2","0.5845927504294794"
"fresh-sweep-6","256","2","0.0002","6","128","0.1","0.5361257615281299"
"daily-sweep-3","64","2","0.0005","6","64","0.05","0.4393985271178189"
"dauntless-sweep-4","512","4","0.00005","9","256","0.025","0.31574847699739633"
"fluent-sweep-2","256","16","0.0005","15","512","0.05","0.35091002366142987"
"pious-sweep-1","512","2","0.00005","9","512","0.1","0.32062591577245947"
