,dataset_name,n_cells,n_genes,technology,tissue,n_cells_0,n_genes_0,mean_transcript_count,mean_cell_count,mean_ngh_count,mean_distance_ngh,used_in_showcase,used_in_hyperopt
0,Xenium_Prime_Human_Lymph_Node_Reactive_FFPE_outs,708983,4622,xenium,lymph_node,0.04739182744861301,0.0,269.40625,41325.06640625,5.993401816404624,7.451842195410015,lymph_node_dataset,
1,Xenium_V1_hLiver_nondiseased_section_FFPE_outs,239271,377,xenium,liver,0.0313452110786514,0.0,88.04167938232422,55877.515625,5.992243105098403,17.02998600052386,,
2,HumanUterineCancerPatient2-ROCostain_region_0,758506,500,merscope,uterine,0.24047271873920573,0.0,486.56200478308676,738120.4,5.994027733465523,10.259751074084733,,
3,Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs,190965,474,xenium,pancreas,0.0020946246694420446,0.0,124.81535339355469,50285.5859375,5.992909695493939,10.680358284763328,,
4,Xenium_V1_hTonsil_reactive_follicular_hyperplasia_section_FFPE_outs,1349620,377,xenium,tonsil,0.010817859842029608,0.0,56.45451736450195,202101.15625,5.996871712037462,7.293569450903575,,
5,Xenium_V1_hLung_cancer_section_outs,150365,377,xenium,lung,0.12702424101353374,0.0,170.3563232421875,67945.9765625,5.988002527183853,13.550068003104235,,1
6,Xenium_V1_FFPE_Human_Brain_Healthy_With_Addon_outs,24406,313,xenium,brain,0.012292059329673031,0.0,193.9774169921875,15125.28125,5.940506432844383,33.571023534043675,,
7,Xenium_V1_hSkin_Melanoma_Base_FFPE_outs,106980,282,xenium,skin,0.17666853617498596,0.0,188.91297912597656,71666.3515625,5.987623854926154,13.044006503479267,,
9,cosmx_cancer_liver,463972,1197,cosmx,liver,0.047416654453285974,0.0,1029.5296548067556,399058.4235588972,5.994749683170536,16.06671550350124,,
10,HumanOvarianCancerPatient2Slice3_region_0,212425,500,merscope,ovarian,0.22878663057549725,0.0,393.64375661998355,167239.55,5.967941626456397,14.645294103698308,,
11,Xenium_V1_mouse_pup_outs,1355849,379,xenium,whole_mouse,0.05804481177476253,0.0,140.06869506835938,501087.0625,5.992394433303414,11.3441865344322,,
12,cosmx_pancreas,48944,21569,cosmx,pancreas,0.0,0.0,1229.5361842105262,2790.042143817516,5.9888852566198105,10.982010460666364,,
13,Xenium_V1_Human_Brain_GBM_FFPE_outs,816769,480,xenium,brain,0.023996993029852996,0.0,174.36175537109375,296694.34375,5.992460536577662,11.497464649820687,,
14,HumanUterineCancerPatient2-RACostain_region_0,741749,500,merscope,uterine,0.3401420156953363,0.0,412.6662604196298,612189.572,5.9937148550250825,10.476798111040798,,
15,Xenium_V1_hColon_Non_diseased_Base_FFPE_outs,270984,325,xenium,colon,0.07232899359371771,0.0,84.35034942626953,70331.0625,5.986692941280666,12.314099345017436,,
16,Xenium_V1_FFPE_TgCRND8_17_9_months_outs,62268,347,xenium,mouse_brain,2.3109783516412925,0.0,195.2435760498047,35035.8125,5.974465214877625,20.61142060797269,mouse_brain_dataset,
17,Xenium_V1_Human_Ovarian_Cancer_Addon_FFPE_outs,247636,480,xenium,ovarian,0.07349496842139269,0.0,63.785484313964844,32907.4609375,5.990970618165372,11.179268031611468,,
18,Xenium_V1_hLymphNode_nondiseased_section_outs,377985,377,xenium,lymph_node,0.0074077013638107325,0.0,49.01094055175781,49138.9921875,5.996110956783999,7.126882210442233,lymph_node_dataset,
19,Xenium_V1_Human_Colon_Cancer_P1_CRC_Add_on_FFPE_outs,307762,422,xenium,colon,0.12314710718022367,0.0,75.05204772949219,54734.99609375,5.990973544492173,11.195135012660606,colon_dataset,
20,Xenium_V1_hPancreas_nondiseased_section_outs,103901,377,xenium,pancreas,0.0009624546443248862,0.0,119.3064193725586,32880.78515625,5.9902022117207725,12.710730709129857,,
21,Xenium_V1_Human_Colorectal_Cancer_Addon_FFPE_outs,388175,480,xenium,colon,0.0412185225735815,0.0,95.09957122802734,76906.8359375,5.989587170734849,9.41777123441526,colon_dataset,
22,Xenium_V1_humanLung_Cancer_FFPE_outs,162254,377,xenium,lung,0.22187434516252294,0.0,56.59342575073242,24356.791015625,5.984752301946331,11.41793710467062,,1
23,Xenium_V1_hKidney_nondiseased_section_outs,97560,377,xenium,kidney,0.05022550225502255,0.0,66.79998016357422,17286.48828125,5.988437884378844,15.003334292853024,,
24,HumanUterineCancerPatient1_region_0,843285,500,merscope,uterine,0.26064734935401435,0.0,334.7538993341516,564585.884,5.995652715274195,10.182277889591857,,
25,Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE_outs,235099,380,xenium,pancreas,0.1029353591465723,0.0,61.14326858520508,37828.21484375,5.990421056661236,12.394023843131166,,
26,HumanLiverCancerPatient2_region_0,598141,500,merscope,liver,0.5520437488819526,0.0,373.3717267333288,446657.876,5.994586560693883,14.154519981430425,,
27,HumanColonCancerPatient2_region_0,817588,500,merscope,colon,0.6407872913986017,0.0,402.53769013243834,658219.97,5.996188789463642,11.598207887872439,,
28,HumanOvarianCancerPatient1_region_0,358485,500,merscope,ovarian,0.18940820396948269,0.0,383.87523606287573,275227.028,5.982091300891251,13.842926122157245,,
29,Xenium_V1_human_Pancreas_FFPE_outs,140702,377,xenium,pancreas,0.36104675128996033,0.0,39.16941452026367,14618.607421875,5.9940867933646995,12.481113676603789,,
30,HumanOvarianCancerPatient2Slice1_region_0,254347,500,merscope,ovarian,0.5134717531561214,0.0,321.5952262067176,163593.562,5.968216648908774,14.731837671469235,,
31,HumanProstateCancerPatient1_region_0,721668,500,merscope,prostate,0.4769506199526652,0.0,276.18716501216625,398630.878,5.992317797103377,12.75893840611058,,
32,Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_outs,225906,477,xenium,bone_marrow,0.2509893495524687,0.0,30.44835090637207,14420.26171875,5.985958761608811,8.321068606624655,,
33,Xenium_V1_Human_Lung_Cancer_Addon_FFPE_outs,161000,480,xenium,lung,0.34285714285714286,0.0,171.7538604736328,57609.109375,5.978360248447205,14.428788911281963,,1
34,HumanMelanomaPatient2_region_0,207869,500,merscope,skin,2.7170958632600337,0.0,276.336890060567,114883.746,5.9842785600546495,15.169677755374831,,
35,HumanOvarianCancerPatient2Slice2_region_0,71381,500,merscope,ovarian,0.7396926352951065,0.0,315.11680979532366,44986.706,5.952592426556087,15.005164009064183,,
36,cosmx_normal_liver,340706,1197,cosmx,liver,0.1420579619965601,0.0,544.5831479339959,155006.47117794486,5.991259326222608,16.336105850994123,,
37,HumanProstateCancerPatient2_region_0,993825,500,merscope,prostate,0.5348024048499485,0.0,165.3083208814429,328575.084,5.996468191079918,11.173366783962352,,
38,Xenium_V1_hSkin_nondiseased_section_1_FFPE_outs,68476,376,xenium,skin,8.81330685203575,0.0,28.09377098083496,5116.353515625,5.812459839943922,23.034166626337452,,
39,HumanMelanomaPatient1_region_0,468138,500,merscope,skin,0.5116012799644549,0.0,247.30332295177917,231544.166,5.986948293024707,14.440778102005382,,
40,Xenium_Preview_Human_Non_diseased_Lung_With_Add_on_FFPE_outs,295883,392,xenium,lung,0.012166971404237486,0.0,78.88707733154297,59544.23828125,5.956462520658503,16.810411136119907,,1
41,HumanLiverCancerPatient1_region_0,568355,500,merscope,liver,1.7130138733713964,0.0,393.85819426238885,447702.548,5.997227085184436,14.86248156674772,,
42,HumanColonCancerPatient1_region_0,677451,500,merscope,colon,0.348659903077861,0.0,417.58395957788827,565785.342,5.9931212737157376,10.711364060237111,,
43,Xenium_V1_Human_Colon_Cancer_P2_CRC_Add_on_FFPE_outs,340837,422,xenium,colon,0.33916505543705644,0.0,123.4408950805664,99699.59375,5.98956099249788,10.70552563644344,colon_dataset,
44,HumanLungCancerPatient1_region_0,353762,500,merscope,lung,0.07547447153736128,0.0,302.17576223562736,213796.604,5.994544354679134,11.876763652887833,,
45,Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE_outs,87499,382,xenium,skin,0.0,0.0,154.794677734375,35456.4921875,5.991154184619253,10.919193388055804,,
46,Xenium_V1_mFemur_formic_acid_24hrdecal_section_outs,253560,477,xenium,mouse_femur,0.4018772677078403,0.0,88.19823455810547,46883.73046875,5.9666193405899985,9.318497490626447,,
47,HumanLungCancerPatient2_region_0,836739,500,merscope,lung,0.7808886642071183,0.0,383.1809560687383,641244.9,5.9942299809140005,11.432944851957929,,
48,Xenium_V1_Human_Colon_Cancer_P5_CRC_Add_on_FFPE_outs,275998,422,xenium,colon,0.04492786179609997,0.0,103.61559295654297,67767.046875,5.989985434677063,12.123064093242837,colon_dataset,
49,Xenium_V1_mouse_Colon_FF_outs,219797,378,xenium,mouse_colon,0.010009235794847063,0.0,236.8919677734375,137746.390625,5.9843127977178945,11.509297169501735,,
50,HumanBreastCancerPatient1_region_0,713121,500,merscope,breast,0.4274169460722654,0.0,495.7811044689471,707103.834,5.997259932045193,13.274988657828974,breast_dataset,
51,Xenium_V1_mFemur_EDTA_3daydecal_section_outs,348141,476,xenium,mouse_femur,0.016372676587934197,0.0,96.67450714111328,70706.640625,5.979129145949486,10.135099676490928,,
52,Xenium_V1_FFPE_Human_Breast_IDC_Big_1_outs,892966,280,xenium,breast,0.3584682955454071,0.0,116.46074676513672,371412.40625,5.994028887997976,15.933120320113561,,
53,Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs,576963,380,xenium,breast,0.017332133949664014,0.0,134.2245330810547,203796.296875,5.996322121175881,12.459254636052563,breast_dataset,
54,Xenium_V1_FFPE_Human_Breast_ILC_With_Addon_outs,365604,379,xenium,breast,0.00328223980043982,0.0,120.14688110351562,115900.2421875,5.990257218192361,12.846736998104594,,
55,Xenium_Prime_Mouse_Brain_Coronal_FF_outs,63173,4593,xenium,mouse_brain,0.017412502176562775,0.0,1369.4493408203125,18835.66796875,5.979010020103526,21.86743841195935,,
56,Xenium_V1_hLiver_cancer_section_FFPE_outs,162628,473,xenium,liver,0.0012298005263546253,0.0,129.56161499023438,44546.19140625,5.990973264136557,13.794500432902908,,
57,Xenium_V1_hColon_Cancer_Add_on_FFPE_outs,587115,425,xenium,colon,0.01686211389591477,0.0,119.57462310791016,165186.03125,5.996167701387292,10.090243602415274,,
58,Xenium_V1_hColon_Cancer_Base_FFPE_outs,647524,325,xenium,colon,0.031195754906381847,0.0,86.922607421875,173183.015625,5.996679659750063,9.928874641338043,,
59,Xenium_V1_hColon_Non_diseased_Add_on_FFPE_outs,275822,425,xenium,colon,0.006163395233157616,0.0,112.79347229003906,73202.15625,5.98857959118562,12.555681055716029,colon_dataset,
60,Xenium_V1_FFPE_wildtype_5_7_months_outs,58685,347,xenium,mouse_brain,0.0017040129504984236,0.0,244.35693359375,41325.8984375,5.974235324188464,20.387108620200014,mouse_brain_dataset,
61,Xenium_V1_FFPE_wildtype_2_5_months_outs,58231,347,xenium,mouse_brain,0.0017172983462416926,0.0,265.0080261230469,44471.70703125,5.97932372791125,20.389824372279765,mouse_brain_dataset,
62,Xenium_V1_hKidney_cancer_section_outs,56510,377,xenium,kidney,0.010617589807113784,0.0,69.50081634521484,10417.748046875,5.978906388249867,15.605404207435043,,
63,Xenium_V1_hTonsil_follicular_lymphoid_hyperplasia_section_FFPE_outs,864388,377,xenium,tonsil,0.23218739732620072,0.0,67.85484313964844,155578.03125,5.993685705956121,8.35897550123091,,
